id_compra,data,mes,cliente,valor_total_da_compra
1215721646140-01,2022-03-07,3,Cliente 156,210.6
1215733173262-01,2022-03-07,3,Cliente 157,331.6
1215733251259-01,2022-03-07,3,Cliente 158,165.0
1215733518111-01,2022-03-07,3,Cliente 159,202.8
1215742130480-01,2022-03-07,3,Cliente 139,132.56
1215742674642-01,2022-03-07,3,Cliente 139,132.56
1215743343655-01,2022-03-07,3,Cliente 160,193.9
1215750007629-01,2022-03-07,3,Cliente 161,173.0
1215751013317-01,2022-03-07,3,Cliente 162,220.7
1215751348436-01,2022-03-07,3,Cliente 163,98.1
1215752028826-01,2022-03-07,3,Cliente 164,243.9
1215752567320-01,2022-03-07,3,Cliente 165,499.5
1215753301755-01,2022-03-07,3,Cliente 166,180.3
1215760520375-01,2022-03-07,3,Cliente 167,80.0
1215760776201-01,2022-03-07,3,Cliente 168,181.9
1215770750579-01,2022-03-07,3,Cliente 169,511.8
1215770784926-01,2022-03-07,3,Cliente 170,205.6
1215771372212-01,2022-03-07,3,Cliente 171,94.2
1215771430238-01,2022-03-07,3,Cliente 172,91.3
1215772482400-01,2022-03-07,3,Cliente 173,139.1
1215781964750-01,2022-03-07,3,Cliente 171,99.36
1215782059090-01,2022-03-07,3,Cliente 174,216.6
1215782166709-01,2022-03-07,3,Cliente 78,20.3
1215782182725-01,2022-03-07,3,Cliente 175,86.5
1215783149537-01,2022-03-07,3,Cliente 176,219.6
1215791783526-01,2022-03-07,3,Cliente 177,248.7
1220161150993-01,2022-03-25,3,Cliente 178,219.6
1220031741405-01,2022-03-25,3,Cliente 179,199.8
1220162274347-01,2022-03-25,3,Cliente 180,274.8
1220041400389-01,2022-03-25,3,Cliente 181,147.6
1220182834464-01,2022-03-25,3,Cliente 182,237.7
1220041688051-01,2022-03-25,3,Cliente 183,223.6
1220183278399-01,2022-03-25,3,Cliente 184,248.7
1220042495335-01,2022-03-25,3,Cliente 185,248.7
1220190165812-01,2022-03-26,3,Cliente 186,159.8
1220190184431-01,2022-03-26,3,Cliente 187,244.5
1220050105509-01,2022-03-25,3,Cliente 188,248.8
1220270051889-01,2022-03-26,3,Cliente 189,186.2
1220050185766-01,2022-03-25,3,Cliente 190,219.6
1220271713098-01,2022-03-26,3,Cliente 191,59.9
1220272663624-01,2022-03-26,3,Cliente 192,229.23
1220050888443-01,2022-03-25,3,Cliente 193,54.9
1220292317031-01,2022-03-26,3,Cliente 194,69.9
1220051936056-01,2022-03-25,3,Cliente 195,54.9
1220300424927-01,2022-03-26,3,Cliente 196,25.9
1220052658560-01,2022-03-25,3,Cliente 197,183.2
1220300439218-01,2022-03-26,3,Cliente 198,274.7
1220052742386-01,2022-03-25,3,Cliente 199,289.7
1220302978731-01,2022-03-26,3,Cliente 200,183.2
1220052917408-01,2022-03-25,3,Cliente 201,213.6
1220303175187-01,2022-03-26,3,Cliente 202,218.9
1220310692911-01,2022-03-26,3,Cliente 203,358.7
1220060106940-01,2022-03-25,3,Cliente 204,109.9
1220310798628-01,2022-03-26,3,Cliente 205,358.8
1220060270061-01,2022-03-25,3,Cliente 206,439.0
1220310912591-01,2022-03-26,3,Cliente 207,139.8
1220061097191-01,2022-03-25,3,Cliente 208,101.7
1220322132460-01,2022-03-26,3,Cliente 209,219.6
1220330040597-01,2022-03-26,3,Cliente 210,119.9
1220061412681-01,2022-03-25,3,Cliente 208,101.7
1220330183384-01,2022-03-26,3,Cliente 211,194.7
1220061736582-01,2022-03-25,3,Cliente 212,109.8
1220331279990-01,2022-03-26,3,Cliente 213,219.8
1220331674204-01,2022-03-26,3,Cliente 194,342.2
1220072004032-01,2022-03-25,3,Cliente 214,202.8
1220340441378-01,2022-03-26,3,Cliente 215,184.8
1220072504143-01,2022-03-25,3,Cliente 216,290.0
1220340544309-01,2022-03-26,3,Cliente 217,153.99
1220072672649-01,2022-03-25,3,Cliente 218,209.7
1220340952317-01,2022-03-26,3,Cliente 219,278.5
1220341317476-01,2022-03-26,3,Cliente 220,279.6
1220080194153-01,2022-03-25,3,Cliente 221,109.8
1220341712678-01,2022-03-26,3,Cliente 222,285.7
1220082261407-01,2022-03-25,3,Cliente 223,135.8
1220353389392-01,2022-03-26,3,Cliente 224,148.7
1220360245380-01,2022-03-26,3,Cliente 225,109.9
1220082515973-01,2022-03-25,3,Cliente 226,202.8
1220361087541-01,2022-03-26,3,Cliente 227,368.3
1220082832874-01,2022-03-25,3,Cliente 228,477.0
1220362517228-01,2022-03-26,3,Cliente 229,387.8
1220082900168-01,2022-03-25,3,Cliente 230,219.6
1220363178513-01,2022-03-26,3,Cliente 231,129.3
1220363438658-01,2022-03-26,3,Cliente 227,368.3
1220090073525-01,2022-03-25,3,Cliente 232,539.4
1220371350792-01,2022-03-26,3,Cliente 233,218.4
1220090089290-01,2022-03-25,3,Cliente 234,221.4
1220390362285-01,2022-03-26,3,Cliente 235,328.8
1220090433820-01,2022-03-25,3,Cliente 236,229.8
1220400575230-01,2022-03-26,3,Cliente 237,137.1
1220090856491-01,2022-03-25,3,Cliente 238,109.8
1220401207330-01,2022-03-26,3,Cliente 239,569.1
1220090919487-01,2022-03-25,3,Cliente 240,102.8
1220501936883-01,2022-03-27,3,Cliente 241,121.8
1220512772252-01,2022-03-27,3,Cliente 242,219.7
1220102910048-01,2022-03-25,3,Cliente 243,109.8
1220530046817-01,2022-03-27,3,Cliente 244,69.9
1220102983408-01,2022-03-25,3,Cliente 245,469.3
1220531278910-01,2022-03-27,3,Cliente 246,59.9
1220531840359-01,2022-03-27,3,Cliente 247,279.7
1220110046530-01,2022-03-25,3,Cliente 161,54.9
1220531842412-01,2022-03-27,3,Cliente 248,219.8
1220110467095-01,2022-03-25,3,Cliente 249,508.6
1220532691200-01,2022-03-27,3,Cliente 250,359.6
1220532858275-01,2022-03-27,3,Cliente 251,139.8
1220111237187-01,2022-03-25,3,Cliente 249,368.7
1220540994729-01,2022-03-27,3,Cliente 252,49.8
1220111724309-01,2022-03-25,3,Cliente 161,54.9
1220550236813-01,2022-03-27,3,Cliente 190,331.4
1220112167057-01,2022-03-25,3,Cliente 253,161.7
1220551562874-01,2022-03-27,3,Cliente 254,181.6
1220560459001-01,2022-03-27,3,Cliente 255,39.0
1220113461413-01,2022-03-25,3,Cliente 256,82.9
1220571899927-01,2022-03-27,3,Cliente 257,274.5
1220120810853-01,2022-03-25,3,Cliente 258,61.52
1220122159813-01,2022-03-25,3,Cliente 259,559.3
1220122971308-01,2022-03-25,3,Cliente 258,61.52
1220123563712-01,2022-03-25,3,Cliente 260,290.0
1220130205763-01,2022-03-25,3,Cliente 261,580.0
1220130935327-01,2022-03-25,3,Cliente 262,260.8
1220131838219-01,2022-03-25,3,Cliente 263,104.8
1220140050875-01,2022-03-25,3,Cliente 264,439.6
1220142162228-01,2022-03-25,3,Cliente 265,219.8
1220150064153-01,2022-03-25,3,Cliente 266,49.9
1220151718242-01,2022-03-25,3,Cliente 267,202.8
1220152345310-01,2022-03-25,3,Cliente 268,379.5
1220153080720-01,2022-03-25,3,Cliente 269,229.7
1243623501960-01,2022-07-01,7,Cliente 270,304.8
1243623538199-01,2022-07-01,7,Cliente 271,265.9
1243631702544-01,2022-07-01,7,Cliente 272,182.87
1243632074761-01,2022-07-01,7,Cliente 273,168.88
1243640037697-01,2022-07-01,7,Cliente 274,189.0
1243640069440-01,2022-07-01,7,Cliente 275,32.9
1243652581496-01,2022-07-01,7,Cliente 276,184.9
1243660766604-01,2022-07-01,7,Cliente 277,245.5
1243661951847-01,2022-07-01,7,Cliente 78,25.8
1243662618594-01,2022-07-01,7,Cliente 278,161.83
1243670229180-01,2022-07-01,7,Cliente 279,257.0
1243390033021-01,2022-06-30,6,Cliente 280,83.25
1243670465656-01,2022-07-01,7,Cliente 281,494.1
1243390033151-01,2022-06-30,6,Cliente 282,76.9
1243680098608-01,2022-07-01,7,Cliente 283,227.6
1243390693542-01,2022-06-30,6,Cliente 284,220.7
1243681951473-01,2022-07-01,7,Cliente 285,384.5
1243681989027-01,2022-07-01,7,Cliente 286,263.3
1243400163500-01,2022-06-30,6,Cliente 287,51.8
1243682798922-01,2022-07-01,7,Cliente 285,94.2
1243401087175-01,2022-06-30,6,Cliente 288,95.8
1243722746325-01,2022-07-02,7,Cliente 289,25.9
1243402837731-01,2022-06-30,6,Cliente 290,3.9
1243740329420-01,2022-07-02,7,Cliente 291,88.19
1243403113181-01,2022-06-30,6,Cliente 292,205.3
1243831636597-01,2022-07-02,7,Cliente 293,7.8
1243403482342-01,2022-06-30,6,Cliente 294,220.7
1243832606792-01,2022-07-02,7,Cliente 295,46.9
1243861943401-01,2022-07-02,7,Cliente 296,237.5
1243410155735-01,2022-06-30,6,Cliente 297,214.4
1243862192910-01,2022-07-02,7,Cliente 298,54.9
1243410519024-01,2022-06-30,6,Cliente 299,54.9
1243863204541-01,2022-07-02,7,Cliente 300,117.6
1243413361024-01,2022-06-30,6,Cliente 301,263.0
1243871450648-01,2022-07-02,7,Cliente 302,49.9
1243881783031-01,2022-07-02,7,Cliente 303,263.9
1243420493491-01,2022-06-30,6,Cliente 304,3.9
1243882858081-01,2022-07-02,7,Cliente 305,190.6
1243430159831-01,2022-06-30,6,Cliente 306,3.9
1243890945827-01,2022-07-02,7,Cliente 307,156.3
1243430392628-01,2022-06-30,6,Cliente 308,157.7
1243892020785-01,2022-07-02,7,Cliente 309,56.9
1243912497881-01,2022-07-02,7,Cliente 310,468.0
1243431955373-01,2022-06-30,6,Cliente 311,186.9
1243432779662-01,2022-06-30,6,Cliente 272,149.77
1243433321221-01,2022-06-30,6,Cliente 308,157.7
1243442162396-01,2022-06-30,6,Cliente 312,189.0
1243442205659-01,2022-06-30,6,Cliente 313,76.9
1243442271997-01,2022-06-30,6,Cliente 314,230.12
1243443162522-01,2022-06-30,6,Cliente 315,51.8
1243443268757-01,2022-06-30,6,Cliente 315,77.7
1243460182821-01,2022-06-30,6,Cliente 316,49.9
1243931870498-01,2022-07-02,7,Cliente 317,54.9
1243461864925-01,2022-06-30,6,Cliente 318,194.36
1243943155059-01,2022-07-02,7,Cliente 319,195.8
1243472034562-01,2022-06-30,6,Cliente 320,74.0
1244031461439-01,2022-07-03,7,Cliente 321,116.9
1244052100340-01,2022-07-03,7,Cliente 322,236.0
1243472554762-01,2022-06-30,6,Cliente 323,76.9
1244060115176-01,2022-07-03,7,Cliente 324,311.9
1244060565083-01,2022-07-03,7,Cliente 325,189.38
1244071172850-01,2022-07-03,7,Cliente 326,310.97
1244090597553-01,2022-07-03,7,Cliente 327,186.3
1244092961056-01,2022-07-03,7,Cliente 328,132.46
1244101703027-01,2022-07-03,7,Cliente 329,274.2
1244101961493-01,2022-07-03,7,Cliente 330,168.2
1244102746027-01,2022-07-03,7,Cliente 331,189.0
1244110019665-01,2022-07-03,7,Cliente 332,54.9
1244131675600-01,2022-07-03,7,Cliente 333,98.95
1244141366269-01,2022-07-03,7,Cliente 334,237.2
1244141458660-01,2022-07-03,7,Cliente 335,54.9
1244142431576-01,2022-07-03,7,Cliente 336,108.62
1244150671104-01,2022-07-03,7,Cliente 337,188.2
1244151470887-01,2022-07-03,7,Cliente 338,54.9
1244152504994-01,2022-07-03,7,Cliente 339,257.0
1243551425975-01,2022-07-01,7,Cliente 340,83.1
1244152584966-01,2022-07-03,7,Cliente 341,182.3
1243560955717-01,2022-07-01,7,Cliente 23,127.25
1243561408844-01,2022-07-01,7,Cliente 342,169.82
1243561483412-01,2022-07-01,7,Cliente 343,194.7
1243570429808-01,2022-07-01,7,Cliente 344,47.43
1243571735068-01,2022-07-01,7,Cliente 345,91.3
1243572175624-01,2022-07-01,7,Cliente 346,380.81
1243580573139-01,2022-07-01,7,Cliente 78,25.9
1243581280392-01,2022-07-01,7,Cliente 347,94.2
1243581689191-01,2022-07-01,7,Cliente 348,54.9
1243582583874-01,2022-07-01,7,Cliente 349,221.6
1243590285044-01,2022-07-01,7,Cliente 350,131.0
1243593291311-01,2022-07-01,7,Cliente 351,91.3
1243593312253-01,2022-07-01,7,Cliente 352,262.0
1243601596876-01,2022-07-01,7,Cliente 353,54.9
1243602359461-01,2022-07-01,7,Cliente 354,78.1
1243602781437-01,2022-07-01,7,Cliente 355,99.36
1243611492914-01,2022-07-01,7,Cliente 356,138.0
1243611735797-01,2022-07-01,7,Cliente 357,223.6
1243612022495-01,2022-07-01,7,Cliente 358,68.9
1243613441558-01,2022-07-01,7,Cliente 359,201.4
1243620734336-01,2022-07-01,7,Cliente 360,56.9
1243622523392-01,2022-07-01,7,Cliente 361,54.9
1243622558615-01,2022-07-01,7,Cliente 362,54.9
1244392129269-01,2022-07-04,7,Cliente 363,58.9
1244172396627-01,2022-07-03,7,Cliente 364,54.9
1244392567763-01,2022-07-04,7,Cliente 365,101.7
1244182234244-01,2022-07-03,7,Cliente 366,54.9
1244392617736-01,2022-07-04,7,Cliente 367,96.2
1244290171266-01,2022-07-04,7,Cliente 368,211.32
1244400009061-01,2022-07-04,7,Cliente 369,257.0
1244291425953-01,2022-07-04,7,Cliente 370,257.0
1244400689852-01,2022-07-04,7,Cliente 371,56.9
1244291576975-01,2022-07-04,7,Cliente 372,220.7
1244401397130-01,2022-07-04,7,Cliente 373,137.2
1244401557081-01,2022-07-04,7,Cliente 374,305.4
1244293217575-01,2022-07-04,7,Cliente 375,104.0
1244403194786-01,2022-07-04,7,Cliente 376,156.3
1244300122776-01,2022-07-04,7,Cliente 377,83.1
1244410683276-01,2022-07-04,7,Cliente 378,56.9
1244411897360-01,2022-07-04,7,Cliente 379,180.2
1244300710427-01,2022-07-04,7,Cliente 380,296.0
1244420094645-01,2022-07-04,7,Cliente 381,56.9
1244300807312-01,2022-07-04,7,Cliente 382,217.4
1244420733742-01,2022-07-04,7,Cliente 383,168.0
1244301367242-01,2022-07-04,7,Cliente 171,96.2
1244422723601-01,2022-07-04,7,Cliente 384,96.2
1244422929507-01,2022-07-04,7,Cliente 385,185.9
1244301536936-01,2022-07-04,7,Cliente 386,189.0
1244433320233-01,2022-07-04,7,Cliente 387,156.3
1244301932494-01,2022-07-04,7,Cliente 388,650.61
1244500295043-01,2022-07-05,7,Cliente 389,137.2
1244511660229-01,2022-07-05,7,Cliente 390,156.3
1244310831922-01,2022-07-04,7,Cliente 391,148.9
1244520145327-01,2022-07-05,7,Cliente 392,170.7
1244311849165-01,2022-07-04,7,Cliente 171,96.2
1244521005023-01,2022-07-05,7,Cliente 393,59.8
1244312034362-01,2022-07-04,7,Cliente 171,96.2
1244522441651-01,2022-07-05,7,Cliente 394,182.4
1244523039473-01,2022-07-05,7,Cliente 395,58.9
1244312387465-01,2022-07-04,7,Cliente 396,96.2
1244530590849-01,2022-07-05,7,Cliente 397,56.9
1244312671950-01,2022-07-04,7,Cliente 398,156.3
1244532066801-01,2022-07-05,7,Cliente 399,227.6
1244320209870-01,2022-07-04,7,Cliente 400,146.45
1244532131433-01,2022-07-05,7,Cliente 401,189.0
1244532605157-01,2022-07-05,7,Cliente 402,83.1
1244330828980-01,2022-07-04,7,Cliente 403,142.6
1244540700738-01,2022-07-05,7,Cliente 404,49.9
1244333020463-01,2022-07-04,7,Cliente 405,233.6
1244540958409-01,2022-07-05,7,Cliente 406,78.9
1244340104501-01,2022-07-04,7,Cliente 407,433.7
1244541139192-01,2022-07-05,7,Cliente 408,465.2
1244542188728-01,2022-07-05,7,Cliente 409,50.51
1244340452239-01,2022-07-04,7,Cliente 410,54.9
1244542285739-01,2022-07-05,7,Cliente 411,72.2
1244542693727-01,2022-07-05,7,Cliente 412,143.1
1244342490798-01,2022-07-04,7,Cliente 413,56.9
1244542843737-01,2022-07-05,7,Cliente 414,15.6
1244342616318-01,2022-07-04,7,Cliente 415,227.6
1244543478508-01,2022-07-05,7,Cliente 416,58.9
1244350364692-01,2022-07-04,7,Cliente 417,187.8
1244551136744-01,2022-07-05,7,Cliente 418,56.9
1244560711382-01,2022-07-05,7,Cliente 419,140.7
1244351717984-01,2022-07-04,7,Cliente 420,100.47
1244561812483-01,2022-07-05,7,Cliente 421,191.2
1244352493019-01,2022-07-04,7,Cliente 422,74.2
1244352625015-01,2022-07-04,7,Cliente 423,111.89
1244353107230-01,2022-07-04,7,Cliente 424,302.8
1244360065708-01,2022-07-04,7,Cliente 425,229.4
1244361535341-01,2022-07-04,7,Cliente 426,264.4
1244561871471-01,2022-07-05,7,Cliente 427,202.8
1244363566843-01,2022-07-04,7,Cliente 428,267.6
1244561903269-01,2022-07-05,7,Cliente 429,58.9
1244370979818-01,2022-07-04,7,Cliente 430,56.9
1244562481056-01,2022-07-05,7,Cliente 431,56.9
1244371086237-01,2022-07-04,7,Cliente 432,153.9
1244563139081-01,2022-07-05,7,Cliente 433,188.0
1244371174952-01,2022-07-04,7,Cliente 434,36.9
1244563427305-01,2022-07-05,7,Cliente 435,158.4
1244570876483-01,2022-07-05,7,Cliente 436,25.8
1244371206643-01,2022-07-04,7,Cliente 437,3.9
1244571060015-01,2022-07-05,7,Cliente 438,11.7
1244371266254-01,2022-07-04,7,Cliente 439,82.8
1244571173782-01,2022-07-05,7,Cliente 440,279.9
1244371312154-01,2022-07-04,7,Cliente 441,93.8
1244571959398-01,2022-07-05,7,Cliente 12,473.9
1244572404205-01,2022-07-05,7,Cliente 442,188.0
1244371398671-01,2022-07-04,7,Cliente 443,56.9
1244580911633-01,2022-07-05,7,Cliente 444,227.6
1244373138814-01,2022-07-04,7,Cliente 445,208.95
1244581196953-01,2022-07-05,7,Cliente 446,279.9
1244373176322-01,2022-07-04,7,Cliente 447,95.0
1244380422803-01,2022-07-04,7,Cliente 448,227.6
1244381558864-01,2022-07-04,7,Cliente 449,49.9
1244381642437-01,2022-07-04,7,Cliente 450,56.9
1244581313911-01,2022-07-05,7,Cliente 451,103.8
1244382433299-01,2022-07-04,7,Cliente 452,56.9
1244581340801-01,2022-07-05,7,Cliente 386,156.3
1244383307705-01,2022-07-04,7,Cliente 453,185.84
1244390137436-01,2022-07-04,7,Cliente 454,158.92
1244390390667-01,2022-07-04,7,Cliente 455,56.9
